,Feature,Coefficient,lower 95% CI,upper 95% CI,p_values
0,ALL_SEXWITH_MEN,0.0,0.0,0.0,1.0
1,ALL_SEXWITH_WOMEN,-0.22907575069148453,-0.48010102332193283,0.0,0.0565
2,ALL_SEXWITH_NONBINARY,0.0,0.0,0.0,0.999
3,ALL_DRUGS,-0.3797022345384223,-0.5769143322050718,-0.17210979643580737,0.0001
4,ALL_SEXWORK,0.0,-0.19940807029923371,0.0,0.6528
5,ALL_STI_SYMPTOM,0.0,-0.14482586937932163,0.00585678212789339,0.726
6,ALL_TESTSTIPOS_SYPH_w3,0.0,-0.031680394829720744,0.11593755220582136,0.8127
7,ALL_TESTSTIPOS_GO_w3,0.11319557612151324,0.0,0.3218756426870203,0.1005
8,ALL_TESTSTIPOS_CHLA_w3,0.40758055781305413,0.204788946670619,0.615902462475984,0.0
9,ALL_TESTSTIPOS_HCV_w3,0.0,-0.2144002650730474,0.0,0.68
10,ALL_TESTSTIPOS_KEINE_w3,0.0,-0.003408731015711407,0.07930745411115547,0.883
11,ALL_TESTHCV_FREQ,0.0,0.0,0.0,1.0
12,landbin,0.0,0.0,0.18322685917147735,0.6167
13,ABSCHLUSS_TYPE_Haupt-/Volksschulabschluss,0.0,0.0,0.0,0.9937
14,ABSCHLUSS_TYPE_Kein Abschluss,0.0,0.0,0.0,0.9851
15,ABSCHLUSS_TYPE_Realschulabschluss,-0.11089182761081712,-0.32586955697097053,0.0,0.1588
16,SEXLIFE_Discontent,-0.2522726448756435,-0.4698522952803304,-0.017374739492373642,0.0177
17,SEXLIFE_Sex doesnt matter right now,0.0,0.0,0.0,0.9934
18,alter_18-29 yrs,-0.24047446429669186,-0.45551729593205864,-0.032014292265041856,0.0129
19,alter_40-49 yrs,0.0674974795217015,0.0,0.2670074832261363,0.3079
20,alter_50-80 yrs,-0.012020222708697731,-0.2346933358751064,0.0,0.5021
21,ALL_SEXPARTNER_0,0.0,0.0,0.0,0.996
22,ALL_SEXPARTNER_1,-0.27290269102265213,-0.5159709897179265,0.0,0.0424
23,ALL_SEXPARTNER_11-20,0.2654873701788893,0.03771246619636784,0.5019497464867804,0.0112
24,ALL_SEXPARTNER_2-3,-0.7778444916349614,-0.9925208096166085,-0.5538437313186833,0.0
25,ALL_SEXPARTNER_4-5,-0.3175144045248526,-0.5276590441947573,-0.08365302144293427,0.0041
26,ALL_SEXPARTNER_6-10,0.0,0.0,0.11149644093428437,0.8311
27,ALL_SEXFREQ_0x,-0.07736310303917053,-0.3209338218945838,0.0,0.2929
28,ALL_SEXFREQ_5-8x,0.025161439428677133,0.0,0.24643447400472254,0.4274
29,ALL_SEXFREQ_9-12x,0.0,-0.09251138042046748,0.0,0.892
30,ALL_SEXFREQ_>12x,0.13968202761641227,0.0,0.3785504595456663,0.1101
31,ALL_DRUGS_INJECT_Ja 1-3x letzte 6 Monate,0.0,0.0,0.0,1.0
32,ALL_DRUGS_INJECT_Ja >3x letzte 6 Monate,0.0,0.0,0.0,0.9998
33,ALL_DRUGS_INJECT_Ja länger her als 6 Monate,0.0,0.0,0.0,1.0
34,ALL_KONDOM_0%,0.5002260459637391,0.28607381515128444,0.7096897511758837,0.0
35,ALL_KONDOM_50%,-0.291981058079583,-0.5126124846385383,-0.06684223700744923,0.0064
36,ALL_KONDOM_75%,0.0,-0.18694339602741525,0.0,0.6946
37,ALL_KONDOM_>95%,-0.5883969223535337,-0.8280086066996714,-0.34929719832546163,0.0
38,NET_EQUIVALENT_INCOME_1 bis <1000,-0.29551657155382915,-0.5199707383204624,-0.025820056647758906,0.0142
39,NET_EQUIVALENT_INCOME_1000 bis <2000,-0.08866769611614446,-0.2832241799326689,0.0,0.2248
40,NET_EQUIVALENT_INCOME_3000 bis <4000,0.15215873905472196,0.0,0.3871327918694874,0.1034
41,NET_EQUIVALENT_INCOME_4000 bis <5000,0.08970347300615021,0.0,0.33320242284035245,0.2319
42,NET_EQUIVALENT_INCOME_5000+,0.0,0.0,0.09095728219333088,0.8848
43,URBAN_RURAL_AREA_Ländlicher Raum,0.0,-0.21290866411667028,0.0,0.5748
44,HIV_SPECIALIST_DENSITY_0,0.0,0.0,0.0,1.0
45,HIV_SPECIALIST_DENSITY_1-2,0.0,0.0,0.0,0.9759
46,HIV_SPECIALIST_DENSITY_10-13,0.28559072075273356,0.08630720478175578,0.5075939463319054,0.0036
47,HIV_SPECIALIST_DENSITY_3-5,0.0,0.0,0.20846554171072057,0.5185
48,ALL_TESTSYPH_FREQ_1,0.0,-0.05977787779244413,0.0,0.9352
49,ALL_TESTSYPH_FREQ_2+,0.0,0.0,0.0,1.0
50,ALL_TESTGO_FREQ_0,0.0,-0.1847220865725046,0.0,0.6627
51,ALL_TESTGO_FREQ_2+,0.0,0.0,0.13459345387061875,0.8005
52,ALL_TESTCHLA_FREQ_0,0.0,-0.03049204810656927,0.0,0.9562
53,ALL_TESTCHLA_FREQ_2+,0.0988514284212822,0.0,0.27654148066387074,0.1795
